dataset,method,intra_RMSE,intra_MAPE,intra_MAE,intra_MedAE,intra_MAX,cross_RMSE,cross_MAPE,cross_MAE,cross_MedAE,cross_MAX
Dataset 1,SVR,1.475 ± 1.001,1.512 ± 1.097,1.393 ± 1.009,1.362 ± 1.003,3.773 ± 2.137,3.968 ± 2.718,4.099 ± 2.900,3.822 ± 2.713,3.910 ± 2.815,6.605 ± 3.617
Dataset 1,RF,2.817 ± 1.406,2.671 ± 1.456,2.469 ± 1.365,2.381 ± 1.519,6.258 ± 2.300,4.811 ± 1.473,4.519 ± 1.441,4.203 ± 1.416,4.051 ± 1.637,9.557 ± 1.701
Dataset 1,GPR,1.043 ± 0.669,1.052 ± 0.717,0.969 ± 0.663,0.958 ± 0.650,3.159 ± 1.826,1.774 ± 1.118,1.826 ± 1.242,1.694 ± 1.150,1.689 ± 1.171,3.978 ± 2.121
Dataset 1,CNN,1.680 ± 0.992,1.716 ± 1.082,1.584 ± 1.003,1.567 ± 1.024,4.358 ± 2.501,5.293 ± 3.082,5.409 ± 3.381,5.060 ± 3.140,5.015 ± 3.284,8.832 ± 4.219
Dataset 1,Benchmark,2.189 ± 1.856,2.237 ± 1.997,2.073 ± 1.854,2.083 ± 1.987,4.674 ± 2.503,5.595 ± 2.587,5.605 ± 2.804,5.270 ± 2.625,5.211 ± 2.788,9.192 ± 3.050
Dataset 1,SSL,2.657 ± 1.071,2.516 ± 1.077,2.305 ± 0.983,2.193 ± 0.930,6.828 ± 2.552,5.599 ± 2.275,5.721 ± 2.638,5.277 ± 2.411,4.983 ± 2.503,10.741 ± 3.933
Dataset 1,WSL,0.677 ± 0.312,0.635 ± 0.309,0.585 ± 0.285,0.568 ± 0.317,2.492 ± 1.145,1.660 ± 0.550,1.673 ± 0.613,1.551 ± 0.566,1.610 ± 0.603,2.887 ± 0.888
Dataset 2,SVR,1.186 ± 0.337,1.142 ± 0.388,1.002 ± 0.328,0.921 ± 0.406,2.989 ± 0.678,1.186 ± 0.487,1.138 ± 0.502,0.995 ± 0.436,0.909 ± 0.496,3.059 ± 0.910
Dataset 2,RF,1.829 ± 0.670,1.781 ± 0.784,1.561 ± 0.673,1.430 ± 0.783,4.321 ± 0.734,2.401 ± 0.838,2.375 ± 0.894,2.047 ± 0.745,1.903 ± 0.715,4.982 ± 1.165
Dataset 2,GPR,1.251 ± 0.502,1.261 ± 0.565,1.113 ± 0.494,1.041 ± 0.490,3.034 ± 1.040,1.730 ± 0.664,1.650 ± 0.672,1.450 ± 0.588,1.325 ± 0.672,4.164 ± 1.457
