col_targes,Dataset 1,Dataset 2,Dataset 3,Dataset 4,Dataset 5,Dataset 6
Dataset 1 intra,0,1.282 ¡À 0.890,0.785 ¡À 0.233,0.917 ¡À 0.320,0.691 ¡À 0.252,0.729 ¡À 0.206
Dataset 1 cross,0,2.694 ¡À 1.212,1.638 ¡À 0.627,2.264 ¡À 0.880,1.536 ¡À 0.520,1.240 ¡À 0.480
Dataset 2 intra,1.312 ¡À 0.306,0,1.160 ¡À 0.466,1.216 ¡À 0.482,1.211 ¡À 0.458,1.137 ¡À 0.338
Dataset 2 cross,1.292 ¡À 0.459,0,1.291 ¡À 0.562,1.359 ¡À 0.546,1.301 ¡À 0.521,1.121 ¡À 0.507
Dataset 3 intra,0.512 ¡À 0.183,0.505 ¡À 0.133,0,0.540 ¡À 0.152,0.586 ¡À 0.125,0.500 ¡À 0.154
Dataset 3 cross,1.592 ¡À 0.812,2.016 ¡À 1.152,0,1.403 ¡À 0.532,1.517 ¡À 0.741,1.429 ¡À 0.693
Dataset 4 intra,0.641 ¡À 0.260,0.632 ¡À 0.278,0.581 ¡À 0.243,0,0.572 ¡À 0.291,0.577 ¡À 0.318
Dataset 4 cross,1.259 ¡À 0.510,1.662 ¡À 0.769,1.375 ¡À 0.659,0,1.423 ¡À 0.633,1.178 ¡À 0.555
Dataset 5 intra,0.887 ¡À 0.375,1.148 ¡À 0.314,0.975 ¡À 0.365,0.915 ¡À 0.402,0,0.994 ¡À 0.396
Dataset 5 cross,0.946 ¡À 0.384,1.769 ¡À 0.793,1.285 ¡À 0.429,1.102 ¡À 0.406,0,1.350 ¡À 0.445
Dataset 6 intra,1.936 ¡À 1.213,2.054 ¡À 1.238,2.166 ¡À 1.193,1.980 ¡À 0.982,2.167 ¡À 1.160,0
Dataset 6 cross,2.176 ¡À 0.986,2.562 ¡À 1.208,2.300 ¡À 1.140,2.177 ¡À 1.092,2.631 ¡À 1.137,0
